date,target,lag_1,lag_2,roll_3,roll_6,baseline_predictions
2020-06-07,9.915000000000001,7.0825,8.888571428571428,6.478690476190476,6.732734126984127,7.1212809523809515
2020-06-14,4.356,3.465,7.0825,6.820833333333333,7.586900793650794,6.862947619047619
2020-06-21,8.468333333333334,9.915000000000001,3.465,5.912,6.4451230158730155,6.741414285714285
2020-06-28,4.365,4.356,9.915000000000001,7.579777777777778,7.029234126984126,6.657366666666666
2020-07-05,4.5169999999999995,8.468333333333334,4.356,5.729777777777778,6.275305555555556,6.113866666666667
2020-07-12,8.760000000000002,4.365,8.468333333333334,5.783444444444444,5.847722222222223,6.3242666666666665
2020-07-19,5.337999999999999,4.5169999999999995,4.365,5.880666666666667,6.730222222222223,6.0932666666666675
2020-07-26,7.645,8.760000000000002,4.5169999999999995,6.205000000000001,5.967388888888888,6.289666666666667
2020-08-02,10.866666666666667,5.337999999999999,8.760000000000002,7.247666666666667,6.515555555555555,6.125
2020-08-09,10.6025,7.645,5.337999999999999,7.949888888888888,6.915277777777778,7.425333333333333
2020-08-16,3.86,10.866666666666667,7.645,9.704722222222221,7.954861111111111,8.642433333333333
2020-08-23,3.504,10.6025,10.866666666666667,8.443055555555556,7.845361111111111,7.6624333333333325
2020-08-30,4.693333333333333,3.86,10.6025,5.988833333333333,6.96936111111111,7.295633333333332
2020-09-06,9.27,3.504,3.86,4.019111111111111,6.861916666666667,6.705299999999999
2020-09-13,11.443999999999999,4.693333333333333,3.504,5.822444444444444,7.132749999999999,6.385966666666667
2020-09-20,3.8360714285714286,9.27,4.693333333333333,8.46911111111111,7.228972222222222,6.554266666666666
2020-09-27,3.228,11.443999999999999,9.27,8.183357142857142,6.101234126984127,6.549480952380952
2020-10-04,3.078333333333333,3.8360714285714286,11.443999999999999,6.169357142857142,5.995900793650794,6.494280952380952
2020-10-11,14.8275,3.228,3.8360714285714286,3.3808015873015873,5.92495634920635,6.171280952380952
2020-10-18,6.934285714285714,3.078333333333333,3.228,7.044611111111112,7.6139841269841275,7.282780952380952
2020-10-25,2.19,14.8275,3.078333333333333,8.280039682539682,7.224698412698412,6.380838095238095
2020-11-01,9.33,6.934285714285714,14.8275,7.983928571428572,5.68236507936508,6.051623809523809
2020-11-08,8.545,2.19,6.934285714285714,6.151428571428572,6.598019841269841,7.2720238095238106
2020-11-15,6.2683333333333335,9.33,2.19,6.6883333333333335,7.484186507936507,8.365357142857144
2020-11-22,11.106428571428571,8.545,9.33,8.047777777777778,8.015853174603174,6.65352380952381
2020-11-29,11.334999999999999,6.2683333333333335,8.545,8.639920634920635,7.395674603174602,7.487952380952382
2020-12-06,15.468,11.106428571428571,6.2683333333333335,9.569920634920635,8.129126984126984,9.31695238095238
2020-12-13,4.586,11.334999999999999,11.106428571428571,12.63647619047619,10.342126984126983,10.54455238095238
2020-12-20,5.733333333333333,15.468,11.334999999999999,10.463,9.551460317460318,9.752752380952382
2020-12-27,20.85245833333333,4.586,15.468,8.595777777777778,9.082849206349206,9.64575238095238
2021-01-03,13.245000000000001,5.733333333333333,4.586,10.39059722222222,11.513536706349207,11.594958333333333
2021-01-10,12.065714285714284,20.85245833333333,5.733333333333333,13.276930555555557,11.869965277777778,11.976958333333334
2021-01-17,10.79125,13.245000000000001,20.85245833333333,15.387724206349205,11.991750992063492,11.296501190476189
